Reports,Count
07/1929,1
12/1925,1
12/1922,1
06/1920,2
10/1917,1
04/1916,1
12/1914,1
09/1914,1
06/1910,1
05/1910,1
01/1910,1
11/1906,1
07/1905,1
06/1899,1
04/1897,2
06/1896,1
10/1886,1
12/1880,1
06/1871,1
06/1865,1
05/1864,2
03/1861,1
08/1860,1
06/1838,1
04/1800,1
06/1790,1
05/1788,1
12/1762,1
04/1721,1
07/1615,1
04/1561,1
06/1400,1
UNSPECIFIED / APPROXIMATE,255
