City,Date,Shape,State,Summary
Penacook,7/4/17 20:00,,NH,"I looked off to the north says and saw a big black object in the far off distance, not moving."
Denver,7/4/17 19:00,Circle,CO,The sky was light. So no fireworks were visible yet. There where two circles of light hovering above the airport in Denver.
Pembroke Pines,7/4/17 17:00,Light,FL,"Dot turns into huge light, and then back to dot. Seen by 2 people."
Kingman,7/4/17 04:28,Flash,AZ,"07/04/17 @ 04:28 hr Kingman, AZ. Bright, quick flashing light every 5-15 seconds in constellation Andromeda."
Chandler,7/4/17 04:00,Other,AZ,"Strange three light object seen swooping over a field in Chandler, AZ."
Manalapan,7/4/17,Cylinder,NJ,CYLINDER SHAPED OBJECTS APPEARED FROM THE E MOVING TOWARDS THE WEST. THEY STOPPED THEN ROSE VERTICALLY. ((anonymous report))
Sioux City,7/3/17 23:30,Fireball,IA,"I witnessed a bright red light that I thought was a Chinese lantern, but blue lights were pulsating around it. The object started chang"
Camden,7/3/17 23:30,,AR,"IT WAS THIS WEIRD LOOKING SPECIES ON MY SCREEN DOOR. ((NUFORC Note: Either a moth, or some other insect, we believe. PD))"
Savage,7/3/17 23:15,Light,MN,First light came across the sky very fast. Not like a shooting star but very fast.faster then any aircraft we've seen. It made no sou
Los Angeles,7/3/17 23:00,Triangle,CA,"Triangular shape was hovering in the distance, flashing red and white lights."
Greenville,7/3/17 23:00,Circle,MI,"High up appeared to be moving South. Larger and lower than a star. Bright orange in color, thought it was a plane on fire, when i saw i"
Knox,7/3/17 22:10,Light,IN,Three red lights in the Indiana sky
East Longmeadow,7/3/17 22:00,Rectangle,MA,Craft watching 3th of July fireworks from above.
Galena,7/3/17 22:00,Other,MD,Square bright flashes of light in Maryland. ((anonymous report))
Acworth,7/3/17 22:00,Sphere,NH,"At 10 PM, on July 3rd, 2017, my brother was walking by his kitchen sink when he noted an odd light in the sky from the kitchen window."
New Tampa,7/3/17 22:00,Light,FL,"At approximately 10 pm, me, my wife and nephew were swimming in our pool. I looked west, northwest and saw a very bright orangish ligh"
Weld County (rural),7/3/17 22:00,Circle,CO,I suddenly see three large circular objects that were extremely bright.
East Dubuque,7/3/17 21:00,Light,IA,Lights over eastern Dubuque
Hot Springs,7/3/17 21:00,Oval,AR,"Reddish oval looking , moving fast"
Miami Beach,7/3/17 20:30,Circle,FL,Noticed a small dot similar to the size of a star or satellite.
Springfield,7/3/17 20:00,Rectangle,MO,"Silvery rectangular craft seen N of Springfield, hovering above the cloud banks, appeared to be facing N before turning E."
Lakeville,7/3/17 19:00,Circle,NY,Sphere with skinny extension viewed through a telescope
Camdenton,7/3/17 12:35,Rectangle,MO,Large gray colored rectangular box shaped craft floating in front of cloud bank in mid-Missouri.
Waters,7/3/17 00:00,Light,MI,Me and the other witness were staring up at the Big Dipper and noticed a bright orb. We suspected it to be maybe a planet as the orb g
Waters,7/3/17 00:00,Light,OH,Me and the other witness were staring up at the Big Dipper and noticed a bright orb. We suspected it to be maybe a planet as the orb g
Doaktown,7/2/17 22:31,Formation,NB,Triangular formation of 3 blue/white lights flying above a firework show.
Eagle Rock,7/2/17 22:15,Oval,CA,Seen two flashing round objects appeared to be not larger than a few feet in width with flashing red/blue/green lights....
Greenwood,7/2/17 22:15,Light,IN,"Cherry red light, hovering in NW over Fireworks display, then turning 90 degrees and shooting SE at a rapid speed!"
O'Fallon,7/2/17 22:10,Fireball,MO,This is the third UFO I have seen in 5 years in different locations.
Middletown,7/2/17 22:00,Sphere,CT,"Emerald Green Orb viewed on the 4th of July in Middletown, CT."
Denton,7/2/17 21:45,Triangle,TX,"At 9:45 pm I was walking north on Fulton. Here in Denton it's clear skies with a waxing moon, but a thunderstorm in Oklahoma was reall"
Marysville,7/2/17 21:30,Sphere,OH,Red and appeared to flicker.
Cloverdale,7/2/17 20:00,Changing,CA,"Mostly oval, changing slightly, with small lights on circumference with a small light beneath the oval. Stationary."
Brownsburg,7/2/17 19:30,Circle,IN,Stationary black disc.
Clinton,7/2/17 15:44,Sphere,CT,Green sphere w/ white dots was moving in spiral during 8 secs. in between some advertising in sky. ((NUFORC Note: Lens flares. PD))
Delaware Township,7/2/17 14:45,Unknown,NJ,"Nothing seen but extremely loud, sudden sound from above."
Sullivan,7/2/17 10:02,Triangle,MO,"Triangle craft with lights facing downwards, slow to stop, then 2 seconds later was gone, around Hwy 185 North. ((anonymous report))"
Kent/Auburn,7/1/17 23:50,Light,WA,"Very rapid point of white light zips across night sky, then stops abruptly and remains static like the stars around it."
Jensen Beach,7/1/17 23:18,Light,FL,Lighted object just raced across the the eastern sky
Crown Point,7/1/17 23:14,Fireball,IN,I had stepped out on my porch to smoke a cigarette and I always look up to the stars then from my right side view I see a fireball comi
Gallitzin,7/1/17 23:00,Oval,PA,Our family of 3 were out on our backyard having a bonfire when all of the sudden we looked up and there was a low flying orangish Amber
Cooper City,7/1/17 22:00,Disk,FL,"An authentic picture of a disc shaped object with lights around the entire outer rim, with metallic dome above and a prong beneath."
Knox,7/1/17 22:00,Light,IN,Unexplained red lights in the Indiana sky.
Sinking Spring,7/1/17 21:50,Light,PA,"Three bright lights form triangle, disappear, one by one."
Cave Creek,7/1/17 21:35,Formation,AZ,Group of 20+ star like objects in a constellation formation then hovering around each other then breaking formation and moving eastward
Effort,7/1/17 21:30,Circle,PA,Slow moving; 3 steady lights:2 or more red and 1 yellow; very quiet
Forest Lake,7/1/17 18:56,Changing,MN,"UFO sighting on 35w north in Forest Lake, MN. ((anonymous report))"
Hillsborough (Canada),6/30/17 23:40,Other,NB,Not one of ours.
Lansing,6/30/17 23:15,Light,MI,I was sitting outside last night when 3 closely together red lights went overhead at times the red lights would change to green lights.
Nampa,6/30/17 23:14,Fireball,ID,"""What's that?"", my wife cried. I stood and beheld a loping orange fireball. Attempting to focus on its shape."
Gardendale,6/30/17 21:45,Unknown,AL,Orange/red ball heading from south to north over central Alabama
West Windsor,6/30/17 21:30,Diamond,NJ,((HOAX??)) I thought that it was some crazy helicopter pilot out in the storm. ((NUFORC Note: Report is from 11-year old. PD))
Lancaster County,6/30/17 21:15,Light,PA,Orange lights disappear into thin air.
Baltimore,6/30/17 03:00,Light,MD,"Was camping out, and saw a bright object standing still, then moved randomly at extreme speeds changing direction and velocity."
Millcreek,6/29/17 23:00,Circle,UT,Live video feed infrared camera 4.5 hrs of this object in my backyard shooting beams of light to the ground as it was hunting.
Sonoma (Fetters Hot Springs),6/29/17 22:00,Light,CA,Bright orange light flying and then hovering in the sky.
Sonoma,6/29/17 21:50,Light,CA,"Very bright orange planet like light, sphere, with slight tail and tiny red light near the tail, slowly moving East."
Albany,6/29/17 21:17,Sphere,KY,It was a mind blowing experience.
Taylorsville,6/29/17 05:15,Other,UT,I noticed a very bright object in the sky. It looked similar as a star.
Staunton,6/29/17 05:00,Changing,VA,Next to Venus is a giant orb of multi-color light. ((NUFORC Note: Rocket launch from Wallops Island. PD))
Goldsboro,6/29/17 04:40,Circle,NC,"7 Lights were seen illuminating sequentially over Goldsboro, NC. ((NUFORC Note: Rocket launch from Wallops Island. PD))"
Silver Spring,6/29/17 04:36,Circle,MD,4 lights in a perfect square in sky. ((NUFORC Note: Rocket launch from Wallops Island. PD))
Charlottesville,6/29/17 04:31,Circle,VA,"Green orb light balls at 4:31am in Charlottesville, VA ((NUFORC Note: Rocket launch from Wallops Island. PD))"
Lindenhurst,6/29/17 04:30,Circle,NY,Viewed six large circular bright lights that looked like explosions in space. ((NUFORC Note: Rocket launch from Wallops Island. PD))
Stafford,6/29/17 04:30,Other,VA,4 lights (?) in square formation. ((NUFORC Note: Rocket launch from Wallops Island. PD))
Massapequa,6/29/17 04:30,Circle,NY,"White/yellow motionless circles in sky Long Island, NY. ((NUFORC Note: Rocket launch from Wallops Island. PD))"
Milford,6/29/17 04:30,Light,CT,I have no reasonable explanation for what it was. It was the strangest thing. ((NUFORC Note: Rocket launch from Wallops Island. PD))
Gloucester,6/29/17 04:30,Circle,VA,5 rainbow colored orbs above my house. ((anonymous report)) ((NUFORC Note: Rocket launch from Wallops Island. PD))
Georgetown,6/29/17 04:30,Diamond,DE,Four bright lights appeared myself and wife witinessed in disbledisbleif. ((NUFORC Note: Rocket launch from Wallops Island. PD))
West Deptford,6/29/17 04:29,Circle,NJ,"4 round white orbs not moving in West Deptford, NJ. ((NUFORC Note: Rocket launch from Wallops Island. PD))"
Huntington,6/29/17 04:29,Circle,NY,Glow behind clouds followed by four bright glow and fade circles. ((NUFORC Note: Rocket launch from Wallops Island. PD))
Huntington,6/29/17 04:29,Circle,NY,A round glow hiding behind a cloud slowly faded and then four smaller... ((NUFORC Note: Rocket launch from Wallops Island. PD))
Beaver,6/29/17 04:25,Sphere,WV,5 spheres over Beaver. ((NUFORC Note: Rocket launch from Wallops Island. PD))
Hampton/Newport News,6/29/17 04:25,Light,VA,9 unknown blue lights in formation above Hampton. ((NUFORC Note: Rocket launch from Wallops Island. PD))
Brookville,6/29/17 04:23,Light,PA,"Trucker reports witnessing a dramatic ""cloud"" of colored light in the E sky. ((NUFORC Note: Rocket launch from Wallops Island. PD))"
Silver Spring,6/29/17 04:20,Light,MD,"A bright light & four round white lights in a large, square configuration. ((NUFORC Note: Rocket launch from Wallops Island. PD))"
Fredericksburg,6/29/17 04:20,Oval,VA,Was a circle of green lights followed by orange lights. It looked like there was an emission. ((NUFORC Note: Rocket launch. PD))
Williamstown,6/29/17 04:20,Circle,NJ,"2 moons appeared, quickly went away and then six appeared in a big circle. ((NUFORC Note: Rocket launch from Wallops Island. PD))"
