City,Date,Shape,State,Summary
Santa Fe/Eldorado,2/16/17 19:00,Circle,NM,"Slow moving white light low altitude,no sound. ((anonymous report))"
Mt. Orab,2/16/17 19:00,Fireball,OH,"4-6 glowing Red lights/orbs, multiple flickering white lights, and a single line of red lights."
Grifton,2/16/17 18:30,Other,NC,A very very Bright Long object. The back of it was illuminated and you could see what looked to be a type of vapor trail but not like a
Costa Mesa,2/16/17 18:00,Circle,CA,WHITE LIGHTS ERRATIC FLIGHT. ((NUFORC Note: Advertising lights?? PD)) ((anonymous report))
Winterville,2/16/17 17:09,Sphere,NC,"Silent, bright object first spotted in Northern sky over Greenville heading SW rapidly. Object appeared to be much higher than air traf"
Grifton,2/16/17 16:30,Sphere,NC,Very large very bright craft. The rear sky was illuminated and you could see a very wide exhaust vapor. It was like puffs of exhaust.
Paducah,2/16/17 16:30,Cigar,KY,I noticed a chrome cigar shapes craft hovering about 3000' above the city. ((anonymous report))
Wichita,2/16/17 16:00,Other,KS,"A brown round shape falling straight down from the sky.

Fell straight down with a white vapor trail behind it. I was driving and l"
Camarillo,2/16/17 10:30,Light,CA,"2 bright star like lights with blue skies, hovered around, then faded out of sight."
Maycomb,2/16/17 07:18,Disk,AL,((HOAX??)) Looked like a saucer from a movie and had colorful lights of green and red.
Yuma,2/16/17 07:00,Light,AZ,"Light north of Yuma, west of Yuma Proving Grounds. Hovered approx. 1000ft AGL then rose into a small cloud, then light and cloud disapp"
Caledonia (Village of)),2/16/17 07:00,Changing,WI,A ring of several changing shape glowing objects going around in a circular pattern. ((NUFORC Note: Advertising lights. PD))
Bushkill,2/16/17 06:15,Light,PA,"I saw a white light hovering in the distance. I know it can't be a helicopte, no flashing lights. ((NUFORC Note: Venus? PD))"
Greer,2/15/17 23:30,Light,SC,"It was a white, illuminating object that hovered in the sky for a second and then ascended rapidly. ((anonymous report))"
The Villages,2/15/17 23:15,Light,FL,"Walking the dog 23:15 hrs. Happened to look up at stars, and saw 6 small, light yellow lights, in 2 formations of 3 lights each."
National City,2/15/17 22:00,Light,CA,Three lights floating in the sky.
Hopulikit,2/15/17 21:12,Light,GA,"I was outside on the porch, because I don't smoke in the trailer, and I was looking at the moon. ((anonymous report))"
Prescott Valley,2/15/17 21:10,Light,AZ,Saw an unexplained light over 89A Prescott valley/Chino Valley AZ area. Light stayed constant. ((NUFORC Note: Sighting of Venus? PD))
Wichita,2/15/17 21:00,Other,KS,2 objects that look like stars moving erratically and stopping abruptly. ((anonymous report))
Lava Hot Springs,2/15/17 20:30,Light,ID,Bright lights in southeast Idaho sky.
Annestown (Republic of Ireland),2/15/17 20:20,Diamond,,https://youtu.be/AmS48Imh0HU
Shawnee,2/15/17 20:00,Triangle,KS,Group of v shaped lights doing complex movements.
Shawnee,2/15/17 20:00,Triangle,KS,Group of v-shaped lights doing complex movements.
Jersey City,2/15/17 20:00,Sphere,NJ,White orb intelligent actions.
Austin,2/15/17 20:00,Triangle,NV,"We saw a bright light in the southern sky. Instantly, it changed to a triangle with 2 lights in each corner."
Harper,2/15/17 19:50,Light,TX,"((ADDENDUM FROM WITNESS)) Bright, round light moving fast traveling from West to East."
Harper,2/15/17 19:50,Light,TX,White light moving West to East at a high rate of speed.
Chillicothe,2/15/17 19:50,Unknown,OH,Lights in a row in the sky the tons appered out of no where all bliking
Chillicothe,2/15/17 19:50,Triangle,OH,Crazy lights in the sky.
Bethel,2/15/17 19:40,Light,OH,Orange lights in sky Clermont county Ohio
Aberdeen,2/15/17 19:25,Light,NC,"One object hovering over Starview Rd., and Pee Dee Rd.,Rd Sand Springs got brighter then slowly moved heading south US HYW 15-501 disa"
Wichita,2/15/17 19:00,Circle,KS,Orange balls of light in the sky. ((anonymous report))
Cape Girardeau,2/15/17 18:48,Light,MO,There was a visible steady white light coming out of a Westerly Direction at about the 10 o'clock position traversing across the sky in
Algood,2/15/17 09:50,Egg,TN,I saw a boomerang shaped aircraft in the beautiful night sky.
Ashtabula,2/15/17 05:35,,OH,On February 15th while traveling west on interstate 90 near Ashtabula OH. Mile marker 226 around 5:35 am I witnessed the a strange blue
Strathmore (Canada),2/15/17,Unknown,AB,Sandollar disk with black rolling circles hollow centre passing over the surface. ((NUFORC Note: Venus?? PD))
Goodyear,2/14/17 23:00,Other,AZ,These were fairly bright like an amber orb? There was 5 before i got to my brothers room there was only 2 remaining.
Redlands,2/14/17 22:00,Changing,CA,"Slow moving and instant size changing orb with ring around it. ((NUFORC Note: Sirius, or some other ""twinkling"" star?? PD))"
Torrance,2/14/17 21:00,Light,CA,"At just past 21:00 on Feb 14, I stepped outside to view the evening sky. Orion is usually up at this time. As I looked up I noticed"
Claremont,2/14/17 20:00,Other,CA,Four big white lights in the sky over SoCal.
Bethlehem,2/14/17 19:35,Fireball,PA,One White light and one reddish ball of fire light by grocery store in Bethlehem Pa.
Vancouver,2/14/17 19:30,Triangle,WA,"Triangle flying object in Vancouver, WA."
Baghdad (Iraq),2/14/17 16:15,Teardrop,,Teardrop+spherical secondaries 15-20 minutes the objects traveled in a relative slow speed then desapp.
Elorza (Venezuela),2/14/17 10:33,Disk,,I was taking panoramic pictures and when I was looking at them saw the UFO like shape of the saucer
Los Angeles,2/14/17 06:32,Light,CA,Bright light over LA county disappears.
Turlock,2/14/17 06:20,Light,CA,"Bright light over Turlock, CA."
Roseville,2/14/17 06:20,Light,CA,A star-like object moving slowly and eminating light downward and sideways then disappearing.
Pioneer,2/14/17 06:20,Sphere,CA,Bright white spherical object with thin tail. ((NUFORC Note: U. S. Navy launch of ICBM missile from a submarine. PD))
Auburn,2/14/17 06:20,Other,NY,"To the W, I saw huge ball if light. It was too big to be a star or planet.((NUFORC Note: Report submitted by airline employee. PD))"
West Lake Village,2/14/17 06:19,Circle,CA,Driving on 405 going north saw a light in the middle of the sky remaining still. Didn't move and was just sitting there. Disappeared
Hollister,2/14/17 06:15,Light,CA,Saw a light in the sky towards the south and thought it could be a plane or helicopter. It began to make a zig zag pattern in the sky a
Stafford,2/14/17 03:30,Light,VA,((HOAX??)) Faint light in the sky with an adjacent light accross the initial light and occasional third light ((anonymous report))
Kelso,2/14/17 01:15,Light,WA,"Blinding orange light, followed by time loss."
Lexington,2/14/17 01:00,Oval,KY,"Oval appeared out of nowhere, green lights in front orange back with tracer, darted across sky, lights off and black oval hoovered"
Goodyear,2/14/17 00:00,Other,AZ,"Bright, amber, 5 of them, 2 remain after 30 seconds."
Morton,2/13/17 23:00,Circle,IL,Ball of white light seen while driving on interstate near morton driving into peoria.
Alcester,2/13/17 22:00,Sphere,SD,Ufo east if house.
Franklin,2/13/17 22:00,Triangle,NH,"Triangle shaped object with Red, blue and white lights, opera glasses used. ((NUFORC Note: Possible sighting of Sirius?? PD))"
West Union,2/13/17 21:30,Chevron,IA,Myself my wife and a friend stepped outside. While out in front of the house no more than a few minutes later we noticed 8 orange glowi
Concord - Penecook,2/13/17 21:30,Fireball,NH,Went to take the dog out to go the bathroom (she hadn't been out since 3 pm ). When she got to the bottom of the stairs I opened the do
New York City,2/13/17 21:15,Light,NY,"I was driving on the FDR towards the Bronx, green ligh flew in direction from the river towards the city,object flew fast lasting about"
Highlands,2/13/17 21:15,Sphere,NC,Bright Yellow Orb hovering low in the night sky.
Wall,2/13/17 21:10,Fireball,NJ,"I was driving northbound on the parkway, when I saw a bright ball of white light drop quickly from the sky just beyond the southbound s"
Franklin,2/13/17 21:05,Sphere,MA,Bright green sphere flying extremally & scary fast overhead
Ludlow,2/13/17 21:00,Sphere,KY,Bright oval shaped object.
Watsonville,2/13/17 20:00,Sphere,CA,Red spheres.
Medina,2/13/17 20:00,Rectangle,OH,Resemble Phoenix lights craft. Very high rate of speed. Faster than any know fighter jets. Made no sound. ((anonymous report))
Capitola,2/13/17 20:00,Sphere,CA,6 bright red orb-like objects in the sky hovering above Monterey Bay.
Mt. Orab,2/13/17 19:30,Light,OH,"3 orange/yellow lights suddenly appeared, seemed to ""fall"" into each other, and then disappeared; three times. ((anonymous report))"
Brick,2/13/17 18:40,Light,NJ,"Bright white light, moved slowly eastward then slowly faded out. ((NUFORC Note: ISS?? PD))"
Santa Ana,2/13/17 15:09,,CA,I notice there was a blue dot circle flying in my video for about 2 seconds. ((NUFORC Note: Lens flare. PD))
Detroit,2/13/17 01:08,Triangle,MI,((HOAX??)) Black triangle that has color change led look lights that formed triquetra in the middle very big ((anonymous report))
Kingsport,2/13/17,Unknown,TN,Driving down I-81 South. Object was very bright like a star. ((NUFORC Note: Probable sighting of Venus? PD))
Richland,2/12/17 22:53,Circle,WA,"bigger than 2 football fields, lightning white lights flashing all the way around and red lights flashing all around the white lights"
Apache Junction,2/12/17 22:15,Light,AZ,Yellow round flashes
Mokuliea,2/12/17 21:30,Changing,HI,UFO. ((NUFORC Note: Sighting of Venus? PD))
Abingdon,2/12/17 21:22,Unknown,VA,faint orange lighted craft flying high and quiet over abingdon va heading toward marion va.
Tigard,2/12/17 20:30,Other,OR,Spotted a bright light directly west of my position at 45°23'60: N. 122°46'53W.  ((NUFORC Note: Sighting of Venus. PD))
Peoria,2/12/17 20:30,Circle,AZ,"Stationary bright white light west of Peoria, AZ. ((NUFORC Note: Probable sighting of Venus. PD))"
Winter Haven,2/12/17 20:00,Circle,FL,My wife spotted the three fireball looking spheres in the sky over the lake alfred carefree cove area. From 17 92 intersection
Novelty,2/12/17 19:00,Diamond,OH,Strange bright light/object western sky geauga county. ((NUFOR Note: Possible sighting of Venus? PD))
Wausau,2/12/17 19:00,Light,WI,"Snail Speed, Moving Star, Extreemly bright, Wausau's skycams kept going down. ((NUFORC Note: Venus?? PD))"
King,2/12/17 19:00,Sphere,NC,Fast spinning Orbs with light hovering in the sky. ((NUFORC Note: Sighting of Venus. PD))
Saint Paul,2/12/17 18:45,Circle,MN,2 seen hoving. ((NUFORC Note: Sighting of Venus. PD))
Orland Park,2/12/17 18:37,Unknown,IL,"Low, BRIGHT white light."
Torrance,2/12/17 15:45,Light,CA,Today at 15:15 my wife and I went to visit her mother and arrived there at 15:35. At 15:45 my son called us and said he could see a UF
Valencia,2/12/17 15:00,Triangle,CA,Day time 5 objects or one large object with 5 identifiable points
Winter Springs,2/12/17 08:30,Cigar,FL,White lit cigar shaped object moving very quickly and effortlessly for a minute before disappearing to the East in the blink of an eye.
Lithia,2/12/17 02:45,Fireball,FL,Large green fireball fall from northeast coast toward southeast.
Fredericton (Canada),2/12/17 02:03,Changing,NB,"Bright, multi coloured, shape changing object, very large, low in the sky, hovering then moving off quickly."
Brook Park,2/12/17 01:30,Other,MN,We noticed a sweet fruity smell and a smell that was dusty and smelt like gun powder. The dogs were sniffing as well. We got sick and d
Rancho Palos Verdes,2/12/17 01:25,Triangle,CA,During my rounds around the property I observed a triangle shaped craft flashing multiple lights at a low altitude. The craft came from
Wausau,2/11/17 21:15,Circle,WI,"I was driving home from work, the sky was overcast and I noticed 3, what I thought might have been a planet and stars, but it was to ov"
Fuquay Varina,2/11/17 21:00,Circle,NC,While taking the family dog outside it was identified that an unknown glowing orange object around 1000 feet up was flying just above o
Stevensville,2/11/17 20:00,Light,MT,Large bright light with some red moving very slowly in the west. Then just faded. Two nights in a row. Second night seen by three peopl
Sarasota,2/11/17 19:38,Circle,FL,Bright orange flare like objects moving very slowly in night sky.
Amite,2/11/17 19:09,Circle,LA,Twenty one orange red objects observed over a period of 20 minutes traveling due north.
Amite,2/11/17 19:09,Circle,LA,Twenty one orange red objects observed over a period of 20 minutes traveling due north.
Saint Petersburg,2/11/17 19:00,Light,FL,I came out from house and sae 5 red lights in the sky couple minutes...than lights gone
Saint Petersburg,2/11/17 19:00,Light,FL,5 red lights in the sky.i make just with cellphone galaxy note 3 pics...processed in snapseed....no colored pics .try get sharp is poss
Bozeman,2/11/17 18:35,Other,MT,"Bright Lights Appearing Over Bozeman Pass, Montana."
Lawrence,2/11/17 18:31,Triangle,KS,"Slow, massive, low flying triangle"
Summerdale,2/11/17 17:20,Light,AL,I work in a facility that doesn't allow photography or cellphones. I and my superviser stepped outside (cloudy day) and to the north o
Pasadena,2/11/17 15:00,Triangle,MD,Very bright no sound shaped like a triangle.
Ames,2/11/17 14:45,Triangle,IA,Three lights in a triangular formation.
Port Orchard,2/11/17 01:00,Formation,WA,They made no noise they hovered stationary two hours and did nothing while there were other planes in the air but they never moved.
Ft. Lauderdale,2/10/17 20:18,Sphere,FL,"Orb that reflected sky...moved on left sidea of moon headed north..then tracked back and moved to higher position , then lower and the"
Hurdle Mills,2/10/17 19:15,Unknown,NC,Missing time during return trip home from picking up pizza.
Duluth,2/10/17 19:05,Cylinder,GA,"I am a firefighter, while responding to a call I glanced over to the full moon and the glow that it had around it. I saw a long cylinde"
Hollywood,2/10/17 19:00,Changing,CA,Shape shifting balls possible UFO.
New Kent,2/10/17 18:35,Light,VA,"To our left we spotted two orange/red lights at the same altitude close to each other, able to travel lateral. The lights turned off a"
Long Beach,2/10/17 18:00,,NY,Circle I. Sky ((NUFORC Note: Witness provides minimum of information. Looks like missile launch. PD))
Eagan,2/10/17 15:00,Unknown,MN,"Bright light against sun, magnificent brightness and maneuverability through clouds, dim to dark and bright. ((anonymous report))"
Howell,2/10/17 10:15,Fireball,MI,((HOAX??)) Their was a lantern/ship flying fast. ((anonymous report))
Norton,2/9/17 22:15,Unknown,VA,"Three strong, pulsing lights hovering in sky North of Orton, in the direction of the operational coal tipple one red light in center, i"
Adel,2/9/17 20:30,Light,IA,"Bright bronze light in low Eastern horizon, slowly moving North; sighted in Adel, IA."
Johnson City,2/9/17 20:00,Circle,TN,"Round craft seen over Johnson City, Tn. Multiple witnesses. Had the effects of egg embryo in close look through high power night scope."
Bridgeton,2/9/17 18:00,Formation,MO,Glowing bright bronze colored orbs in a line near expressway (I-70) in the departure end of the runway near the airport in STL.
Red Bank,2/9/17 10:40,Flash,NJ,((HOAX??)) Ok i wake up and noticed one plane with flashing lights making away from me so i watched it keep stopping and going…
Valdosta,2/9/17 05:15,Circle,GA,My friend and I saw the same orbs of lights from opposite ends of a entire city.
Fredericksburg,2/9/17 03:20,Disk,VA,Saucer like object with strobbing lights and lighted figures seen roaming within Fredericksburg Forest trail
Columbia,2/9/17 00:00,Fireball,CT,I was awake watching television and there were flashing red and blue lights in the sky they remained for a hour till a red orb about 15
Youngstown,2/9/17,Fireball,OH,Looks like an asteroid. ((NUFORC Note: Sighting of Venus in the western sky?? PD))
Tucson,2/8/17 22:30,Unknown,AZ,"Bright red light traveled across sky in Tucson, Arizona. No sound, then flickers out to the west of city."
Kirkland,2/8/17 21:30,Light,IL,"Reddish orange light that got brighter and dimmed out, twice, the second time getting brighter and dimming out even quicker."
Avondale,2/8/17 21:30,Light,AZ,"Large orange/reddish light high in the sky, moves horizontal and fades away."
Naples,2/8/17 20:45,Light,FL,"Solid round off white light, first confused with the North Star but was too big. Light was stationery. ((anonymous report))"
North Myrtle Beach,2/8/17 20:40,Light,SC,"Large bright light stationary in the sky, watched for a good 8-10min then had to run to the store real quick before 9pm. When I got bac"
Espanola,2/8/17 20:35,Sphere,NM,"Craft spotted hovering above Walgreens in Espanola,N:M:"
Espanola,2/8/17 20:35,Sphere,NM,"Craft spotted hovering above Walgreens in Espanola,N:M:"
Kingfield,2/8/17 17:00,,ME,"Bright light over Mt. Abraham in Kingfield, ME. ((NUFORC Note: Possibly Venus?? PD))"
Pinion Hills,2/8/17 16:00,Chevron,CA,"Myself and 5 other witnesses saw 2 small aircraft flying low near Wrightwood, CA. They were a triangle chevron shape."
Lloydminster (Canada),2/8/17 06:00,Fireball,AB,A ball of fire in the sky.
Liberty Hill,2/8/17 05:30,Oval,TX,"Oval tipped object blueish glow moving very slowly NW to E low in sky no sound almost transparent, I got very dizzy."
Tallahassee,2/8/17 03:00,Changing,FL,((HOAX??)) IT WAS A CIRCLE LIKE SPACE CRAFT SPINNING AROUND WITH DIFFERNT COLORS THEN IT CHANGED INTO A 3 LIGHT SPACE CRAFT
Land O'Lakes,2/7/17 23:15,Light,FL,"Green neon light in the shape of an orb crossed state Road 54, moved from North to south, crossed the road and went into the woods on t"
Bay St. Louis,2/7/17 21:47,Oval,MS,"The object was round and admitted light,but made no sound Like electro magnetic propulsion system.The object was moving from east to w"
Tucson,2/7/17 21:30,Other,AZ,"Four strobing lights seen in motion moving from the south to the west in Tucson, AZ with military activity present"
Nampa,2/7/17 21:30,Triangle,ID,"Triangle shaped. Orange to red glow. Would be dim, bright, and disappear. Then reappear in different location. Silent."
Melba,2/7/17 21:29,Oval,ID,"Oval shape with yellow, red, blue, and green pulsating lights observed for 18 minutes in a dark sky."
Stockbridge,2/7/17 20:30,Diamond,GA,Me and my wife were sitting on the porch when I noticed a slow moving aircraft. This didn't look or move like a normal aircraft. It had
Port Orchard,2/7/17 20:00,Cone,WA,Circular craft with blue illumination bright white lights
Port Orchard,2/7/17 19:45,Light,WA,Driving west on SR 16 just west of Purdy Drive saw a bright blue light SE part of sky followed by blue green light lasted about 20 sec.
Macon,2/7/17 19:20,Other,GA,Hovering over the interstate two large circles on each end with a bright light that lit up the sky. Between the two 3 rectangular light
Macon,2/7/17 19:20,Other,GA,Hovering over the interstate. 2 large circles on the ends of aircraft at the bottom a bright light lit the sky up.((anonymous report))
Sao Paulo (Brasil),2/7/17 13:00,Cigar,,Avistamento de um CHARUTO metalico de uns 50 metros de largura.
Huntington,2/7/17 11:15,Circle,WV,Recorded 3 different orange balls flying from same direction. No sound and disappeared after flying so far. ((anonymous report))
Arnold,2/6/17 22:50,Unknown,PA,Orange glow over western PA.
Albuquerque,2/6/17 22:30,Disk,NM,"Mile marker 149 I-40 on the outer west edge of Albuquerque, NM. ((NUFORC Note: Other reports. USAF craft being shipped? PD))"
St. Petersburg,2/6/17 21:00,Other,FL,Object with two lights moving erratically after green fireball dissipated.
Delhi (India),2/6/17 20:30,Diamond,,Seen a very bright star for 2.5 hours and then it disappear. ((NUFORC Note: Sighting of Venus? PD))
Salisbury,2/6/17 20:15,Other,MD,"Very Large ""parentheses"" shaped craft In Salisbur,y MD."
"Panama City Beach, gulf",2/6/17 18:09,Cigar,FL,I saw suddenly 2 lights appear as I looked into saw in a distance 2 lights and then another 3 lights that then appeared to be 5 or so t
Portland,2/6/17 18:00,Light,OR,"Object is in high orbit, many different patterns of movement. It appears to have thrusts of some kind going out in all directions to he"
Port Orchard,2/6/17 04:22,Unknown,WA,I was pulling out my drive way the sky lit up a blue/green color for 4 sec then it happened again about 1 minute later.
Whitehall,2/6/17 02:35,Flash,MI,Green comet? Over west Michigan. ((NUFORC Note: Reported by the news media as a meteor. PD))
Minneapolis,2/6/17 02:30,Light,MN,Fast moving ball of light over Mississippi River in Minneapolis.
Reynoldsburg,2/6/17 02:30,,OH,Green fire. ((NUFORC Note: Reported by the news media as a bright meteor. PD))
Millmont,2/6/17 02:00,Light,PA,Strange Orange ball of light slowing moving and then just disappearing into the sky.
Oak Lawn,2/6/17 01:15,Fireball,IL,"Oak Lawn, Illinois, Bright greenish/white floating ball of light came from the sky like a projectile leaving behind a red trail."
Redway,2/6/17 00:13,Flash,CA,Flash of green light in the sky right before the power when out.
Lancaster,2/6/17 00:10,Sphere,PA,Emitted a bright white light. ((anonymous report))
Athens,2/5/17 23:25,Triangle,MI,"Red/White triangle, and ""helo"" rotor sound,"
Puyallup,2/5/17 23:23,,,2 Bright Blue Flashes with sound.
Rivera Maya,2/5/17 22:30,Light,NM,Bright Red Circle in the Sky making Rationous Moves
Chicago,2/5/17 22:05,Circle,IL,"Red glowing ball moving south then went slowly strait up and stopped before it came back down slowly twice, started flashing before it"
Carmine,2/5/17 21:48,Sphere,TX,"At 9:48 pm around Feb 5th a Orange solid glowing basketball size object was flying 30,000 feet or more moving at a constant speed."
Village of Caledonia,2/5/17 21:30,Changing,WI,Ball of light that changes shape. ((NUFORC Note: Probably Venus. PD))
Saint John (Canada),2/5/17 21:10,Other,NB,Dark green object shoots straight up from mountain.
Clinton,2/5/17 21:00,Circle,TN,"I saw a circular object with around 10 lights in a circular patten around it,. ((NUFORC Note: We suspect the star, Sirius. PD))"
Manalapan,2/5/17 19:00,Changing,NJ,I witnessed a light in the sky that was stationary. 2 hours. The light changed shape at least 3 times. ((NUFORC Note: Venus. PD))
Santee,2/5/17 19:00,Circle,CA,Large circular pattern of at least 20 bright white indiviual lights in the sky. ((NUFORC Note: Venus? PD))
Bend,2/5/17 19:00,Formation,OR,27+ lights in formation quickly moving across sky synchronized.
Clarksville,2/5/17 18:30,Oval,TN,Objects were flying behind the clouds in an Erractic pattern slow but Erractic like someone was Moving 3 big flaslights in the sky It w
Madison,2/5/17 12:00,Circle,WI,"White orb over Lake Mendota, Madison, WI. ((NUFORC Note: Lens flare, caused by photographing the Sun. PD))"
Sahuarita,2/5/17 01:35,Triangle,AZ,"Sahuarita, Arizona, lights."
Miramar,2/4/17 20:30,Cylinder,FL,"Eyewitness account of Red Flashing UFOs in Miramar, FL. ((anonymous report))"
Queen Creek,2/4/17 17:53,Changing,AZ,Red/orange object--circle to chevron shape with lights hovering overhead with no sound
Marshall,2/4/17 17:00,Sphere,MN,Bright neon/forest green orb moved under the clouds. Entered view with a bright flash and a momentary tail. ((NUFORC Note: Meteor?))
Somerville,2/4/17 17:00,Other,MA,Small bright object falling from the early evening sky after seemingly breaking apart in the lower atmosphere.
Cape May Court House,2/4/17 15:50,Light,NJ,I was driving around because my son fell asleep in the car. While traveling SSE I noticed what I thought to be a meteor.
Rancho Palos Verdes,2/4/17 03:24,Light,CA,Saw a red circular orb light with other orbs circling it in the night sky. ((anonymous report))
,2/3/17 22:58,Circle,UT,Moving ball of light.
Lake Worth,2/3/17 21:35,Circle,FL,I smoke on my front porch frequently I was out tonight and saw a bright orange ball I thought it was a planet but it was lower. I looke
Walker,2/3/17 21:30,Other,LA,"Red and green light craft over Walker, Louisiana for several days now. ((NUFORC Note: Venus? PD))"
Hutto,2/3/17 21:00,Formation,TX,5-6 red lights appear over the night sky.
Sarasota,2/3/17 20:33,Circle,FL,Saw Orange glow headed in the South East direction. Seemed to flicker as it got past us.
Louisville,2/3/17 20:30,Circle,KY,Bright round orb in sky appeared to be moving slow. Carefully watched and the light dimmed and lowed in sky then brightened and rose b
Gambrills,2/3/17 20:00,Light,MD,Seen a bright light in the sky a lot bigger than any star. First it was going left then it was going up. ((NUFORC Note: Venus. PD))
Phoenix,2/3/17 20:00,Light,AZ,"Phx, I lookup and saw this intense light just hovering no not that it was fix no plane or helicopter. ((NUFORC Note: Venus. PD))"
Flagler Beach,2/3/17 19:00,Triangle,FL,"Driving towards home, and the lights cuaght my eye. As I looked up, it seemed like I was under a shadow even though it was dark. It was"
Flagler,2/3/17 18:44,Triangle,FL,"Giant triangle over the river.

It was big. It has amber colored lights on the underside at each wing end.

It hovered low, about 5"
Flagler Beach,2/3/17 18:35,Triangle,FL,Dark Triangular Object Approx 500 ft in width and was NOT a B2. Flagler Beach.
Webster,2/3/17 17:30,Light,WI,We observed a shining light in the southwest sky. ((NUFORC Note: Probably a sighting of Venus. PD))
St. Charles,2/3/17 10:23,Other,MO,Diamond shaped silent craft with single light and 4 illuminated tapered trapezoidal wing segments. ((anonymous report))
Indianapolis,2/3/17 00:00,Disk,IN,I was on the highway on e 38th st & pendleton pike when I seen a object that resembled the sun it was a bright ball of light hovering o
Howell,2/2/17 22:00,Triangle,NJ,I was turning down West Farms Road when I saw a triangle shaped object flying on its side. Very bright .
Mesa,2/2/17 20:00,Light,AZ,3 Pulsing yellow/orange lights. ((anonymous report))
Kailua,2/2/17 19:00,Light,HI,"Bright light morphed into 2 lights, morphed back into 1, moved, then disappeared. ((anonymous report))"
Mobile,2/2/17 18:30,Fireball,AL,"Orange fireballs for 3 days at the same time of day each day, with some weird stuff happening after.((NUFORC Note: Venus. PD))"
Buffalo,2/2/17 12:45,Light,NY,Loud thunder sounding noise green Object went by
Harrington,2/2/17 01:35,Oval,WA,Very slow moving object in night sky.
Eureka,2/1/17 00:00,Disk,MO,Witnessed trailer hauling flying saucer. ((NUFORC Note: Other reports. Piece of USAF equipment. PD))
Williamsville,2/1/17 23:43,Light,NY,Light up the entire sky.
Dawsonville,2/1/17 23:00,Circle,GA,"Bright white circular light doing figure 8 motions, oval motions, and straight dir. motions. ((NUFORC Note: Celestial object. PD))"
Tempe,2/1/17 22:50,Light,AZ,Four orange lights Tempe.
Fort Leonard Wood,2/1/17 22:15,Disk,MO,Driving N 15 mi. N of Ft. Leonard Wood on I-44 north last night at exactly 10:15 pm. saw line of police cars spaced out .
Hope,2/1/17 21:02,Unknown,ID,Object that gave off a changing red/orange/green light. Very large. ((NUFORC Note: Venus or Sirius? Anonymous report. PD))
Arvada,2/1/17 20:00,Formation,CO,We drive our car in the night when we see objects of orange and red lights in a formation in the sky . couple they move and the others
Angola,2/1/17 20:00,Light,NY,I had a client call me about a sighting Over herrplace Angola ny. ((
Azusa,2/1/17 19:40,Changing,CA,"Object sighted coming in low from foothill area, morphed into 3 rotating ovals and went east and up."
Jacksonville,2/1/17 18:30,Other,FL,"Oval with flashing green and red lights, hovering and no sound."
West Seattle,2/1/17 18:25,Unknown,WA,"I was on a flight from Seattle to Portland and about 10 minutes after take off, I noticed two lights together off the left side of the"
New London,2/1/17 17:46,Chevron,CT,"Bright V-shaped object over New London, near Court House"
Abington,2/1/17 17:30,Sphere,MA,Around 5:30PM I was in front of my house when I noticed a bright light in the Northeastern Sky passing by the Beehive Cluster. It seeme
Helena,2/1/17 15:00,Light,AR,INCREDIBLE SIGHTING WITH IMAGES
not sure,2/1/17 12:00,Oval,AZ,I photographed a hot air balloon thru my vehicle's windshield. A few days later I enlarged photo for a close up view.
Greer,2/1/17 11:30,Light,SC,"I observed a white, illuminating dot hovering in the night sky and it ascended and disappeared. ((anonymous report))"
Los Angeles/Sherman Oaks,2/1/17 09:12,Light,CA,"Two small bright lights moving slightly, they were not touching, than disappeared. There were no clouds"
Chicago,2/1/17 06:00,Light,IL,"Notice an object over Chicago west of the moon, I waited an hour to see if it moved. ((NUFORC Note: Venus. PD))"
Richlands,1/31/17 23:45,Other,NC,Fireball with very bright red beggining of the tail
Maricopa,1/31/17 23:00,Light,AZ,"While driving 347 towards Maricopa, saw 6 lights gradually appear then disappear - 4 in a tight line formation."
Albany,1/31/17 22:15,Sphere,OR,Odd swarelling movement.at end of it's path.
Charlottesville,1/31/17 21:00,Other,VA,Blue and red orb in random circle pattern alternating clockwise and counterclockwise circles and stops
Mechanicsburg,1/31/17 18:40,Light,PA,Four orange yellow lights side by side in a slight 15 degree angle slanting to the right.
Duxbury,1/31/17 06:00,Unknown,MA,((HOAX??)) Loud boom heard.
Strafford,1/31/17 04:00,Rectangle,MO,"((HOAX??)) Sightings in Strafford, MO. ((anonymous report))"
Travelers Rest,1/30/17 21:50,Chevron,SC,At 9:50PM I was standing on my front porch facing west. The craft was moving fromy north to south at a high rate of speed. The lights w
Oviedo,1/30/17 20:15,Circle,FL,I saw the moon and above it was I thought was Venus and there was something green and that's why I took a picture.
Katy,1/30/17 18:45,Fireball,TX,Fireball fast moving to Earth.
Catonsville,1/30/17 07:00,Changing,MD,Please have someone prove me wrong!!
Fort Chafee,1/30/17 06:13,Flash,AR,Large green flash light up entire area no noise left a smoke plum trail that lasted a while. ((NUFORC Note: Meteor?? Anonymous. PD))
Somersworth,1/30/17 02:30,Light,NH,I went outside for a smoke at about 2:30 am on 1/30/17. I was looking at the stars as usual and pointing out the planets to myself when
Ft. Lauderdale,1/29/17 23:00,Fireball,FL,"Traveling N on I-I95, I could Not help but to notice 3 bright yellow lights toward the East"
Conyers,1/29/17 22:30,Light,GA,"I saw three sets of four lights in the sky over the woods behind my house. There was one (very) bright gold light for each, followed by"
